Mass_0_X,Mass_0_Y,Mass_1_X,Mass_1_Y,Mass_2_X,Mass_2_Y,Mass_3_X,Mass_3_Y,Mass_4_X,Mass_4_Y,Mass_5_X,Mass_5_Y,Mass_6_X,Mass_6_Y,Mass_7_X,Mass_7_Y,Mass_8_X,Mass_8_Y,Mass_9_X,Mass_9_Y,Mass_10_X,Mass_10_Y,Mass_11_X,Mass_11_Y,Mass_12_X,Mass_12_Y,Mass_13_X,Mass_13_Y,Mass_14_X,Mass_14_Y,Mass_15_X,Mass_15_Y
0.0,-0.4045384972654606,1.0,-0.4045384972654606,2.0,-0.4045384972654606,3.0,-0.4045384972654606,0.0,0.641525088957292,1.0,0.641525088957292,2.0,0.641525088957292,3.0,0.641525088957292,0.0,1.7740540531279496,1.0,1.7740540531279496,2.0,1.7740540531279496,3.0,1.7740540531279496,0.0,3.0,1.0,3.0,2.0,3.0,3.0,3.0
0.0,-0.42521855272732145,1.0,-0.42521855272732145,2.0,-0.42521855272732145,3.0,-0.42521855272732145,0.0,0.6264179152673744,1.0,0.6264179152673744,2.0,0.6264179152673744,3.0,0.6264179152673744,0.0,1.7671249788790204,1.0,1.7671249788790204,2.0,1.7671249788790204,3.0,1.7671249788790204,0.0,3.0,1.0,3.0,2.0,3.0,3.0,3.0
0.0,-0.4459403496935971,1.0,-0.4459403496935971,2.0,-0.4459403496935971,3.0,-0.4459403496935971,0.0,0.6115243968883014,1.0,0.6115243968883014,2.0,0.6115243968883014,3.0,0.6115243968883014,0.0,1.7602763520986613,1.0,1.7602763520986613,2.0,1.7602763520986613,3.0,1.7602763520986613,0.0,3.0,1.0,3.0,2.0,3.0,3.0,3.0
0.0,-0.4666459362040446,1.0,-0.4666459362040446,2.0,-0.4666459362040446,3.0,-0.4666459362040446,0.0,0.5968619835213688,1.0,0.5968619835213688,2.0,0.5968619835213688,3.0,0.5968619835213688,0.0,1.7534948404422808,1.0,1.7534948404422808,2.0,1.7534948404422808,3.0,1.7534948404422808,0.0,3.0,1.0,3.0,2.0,3.0,3.0,3.0
0.0,-0.4872764133709741,1.0,-0.4872764133709741,2.0,-0.4872764133709741,3.0,-0.4872764133709741,0.0,0.5824440628062907,1.0,0.5824440628062907,2.0,0.5824440628062907,3.0,0.5824440628062907,0.0,1.7467683275848687,1.0,1.7467683275848687,2.0,1.7467683275848687,3.0,1.7467683275848687,0.0,3.0,1.0,3.0,2.0,3.0,3.0,3.0
0.0,-0.5077724003280278,1.0,-0.5077724003280278,2.0,-0.5077724003280278,3.0,-0.5077724003280278,0.0,0.568280237633807,1.0,0.568280237633807,2.0,0.568280237633807,3.0,0.568280237633807,0.0,1.740086257579443,1.0,1.740086257579443,2.0,1.740086257579443,3.0,1.740086257579443,0.0,3.0,1.0,3.0,2.0,3.0,3.0,3.0
0.0,-0.5280745316939145,1.0,-0.5280745316939145,2.0,-0.5280745316939145,3.0,-0.5280745316939145,0.0,0.5543766921082142,1.0,0.5543766921082142,2.0,0.5543766921082142,3.0,0.5543766921082142,0.0,1.73343990465438,1.0,1.73343990465438,2.0,1.73343990465438,3.0,1.73343990465438,0.0,3.0,1.0,3.0,2.0,3.0,3.0,3.0
0.0,-0.5481239784392226,1.0,-0.5481239784392226,2.0,-0.5481239784392226,3.0,-0.5481239784392226,0.0,0.5407366349828248,1.0,0.5407366349828248,2.0,0.5407366349828248,3.0,0.5407366349828248,0.0,1.726822568239253,1.0,1.726822568239253,2.0,1.726822568239253,3.0,1.726822568239253,0.0,3.0,1.0,3.0,2.0,3.0,3.0,3.0
0.0,-0.5678629822380884,1.0,-0.5678629822380884,2.0,-0.5678629822380884,3.0,-0.5678629822380884,0.0,0.5273608071343201,1.0,0.5273608071343201,2.0,0.5273608071343201,3.0,0.5273608071343201,0.0,1.720229695237771,1.0,1.720229695237771,2.0,1.720229695237771,3.0,1.720229695237771,0.0,3.0,1.0,3.0,2.0,3.0,3.0,3.0
0.0,-0.5872353928251273,1.0,-0.5872353928251273,2.0,-0.5872353928251273,3.0,-0.5872353928251273,0.0,0.5142480378103498,1.0,0.5142480378103498,2.0,0.5142480378103498,3.0,0.5142480378103498,0.0,1.7136589335795744,1.0,1.7136589335795744,2.0,1.7136589335795744,3.0,1.7136589335795744,0.0,3.0,1.0,3.0,2.0,3.0,3.0,3.0
0.0,-0.6061871975801978,1.0,-0.6061871975801978,2.0,-0.6061871975801978,3.0,-0.6061871975801978,0.0,0.5013958330311696,1.0,0.5013958330311696,2.0,0.5013958330311696,3.0,0.5013958330311696,0.0,1.7071101228269236,1.0,1.7071101228269236,2.0,1.7071101228269236,3.0,1.7071101228269236,0.0,3.0,1.0,3.0,2.0,3.0,3.0,3.0
